表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
慈生里,,593,383388,647,513,320,786,594.76,91.99
碧華里,,2309,2741734,1187,761,404,1449,1894.92,159.58
永德里,,1334,934894,701,536,333,859,615.82,87.87
永福里,,1499,1055156,704,512,323,848,862.39,122.51
福星里,,273,213984,784,555,332,962,859.87,109.70
錦安里,,513,365687,713,522,334,833,768.90,107.86
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
光輝里,,436,354485,813,536,344,916,952.42,117.14
同慶里,,506,424814,840,621,356,1060,750.68,89.41
永春里,,575,444282,773,570,348,913,707.41,91.55
中民里,,358,226349,632,510,318,789,518.66,82.03
長福里,,449,314097,700,527,316,875,647.28,92.53
奕壽里,,529,395826,748,509,309,956,725.02,96.90
萬壽里,,579,466364,805,585,369,970,785.42,97.51
中央里,,431,305077,708,576,355,927,560.19,79.14
雙園里,,286,446757,1562,537,327,961,10059.09,643.95
正安里,,583,440151,755,545,347,884,735.10,97.37
吉利里,,427,279393,654,512,341,831,529.27,80.89
忠孝里,,468,348289,744,539,341,893,748.82,100.62
秀江里,,352,275635,783,533,307,914,1200.83,153.35
龍濱里,,881,668894,759,553,328,862,777.85,102.45
平和里,,397,244812,617,476,327,749,503.02,81.57
正德里,,291,210596,724,500,278,874,858.77,118.66
五福里,,1110,1011102,911,637,384,1088,1071.02,117.58
富華里,,950,768706,809,562,350,954,1004.44,124.13
田安里,,1860,1501255,807,558,339,981,793.96,98.37
慈惠里,,599,382055,638,500,341,788,541.71,84.93
慈福里,,580,371075,640,491,313,751,847.44,132.46
永盛里,,877,605556,690,531,336,855,706.48,102.32
福民里,,999,814957,816,555,337,903,1568.04,192.22
